fid,Pressure_h,Temperatur,Humidity_p,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,SO2_October_2025,O3_October_2025,NO2_October_2025,CO_October_2025,UVAI_October_2025
1,135.18,0.04,19.94,0,1.08,25.427233,76.554512,14112.8903729741,0.00035,0.12523,0.00003,0.02923,-0.11713
2,135.8,0.14,20.1,0,1.46,25.427233,76.554512,14086.5702155797,0.00035,0.12523,0.00003,0.02923,-0.11713
3,136.39,0.22,20.01,0,0.87,25.427233,76.554512,14061.6138142111,0.00035,0.12523,0.00003,0.02923,-0.11713
4,137.05,0.28,19.7,0,0.95,25.427233,76.554512,14033.7998608362,0.00035,0.12523,0.00003,0.02923,-0.11713
5,137.84,0.35,19.63,0,0.86,25.427233,76.554512,14000.6496533937,0.00035,0.12523,0.00003,0.02923,-0.11713
6,138.5,0.43,19.77,0,0.64,25.427233,76.554512,13973.0722912191,0.00035,0.12523,0.00003,0.02923,-0.11713
7,139.06,0.49,19.52,0,0.9,25.427233,76.554512,13949.7566422064,0.00035,0.12523,0.00003,0.02923,-0.11713
8,139.85,0.56,20.14,0,1.22,25.427233,76.554512,13916.9938652456,0.00035,0.12523,0.00003,0.02923,-0.11713
9,140.51,0.64,19.55,0,1.56,25.427233,76.554512,13889.7371333451,0.00035,0.12523,0.00003,0.02923,-0.11713
10,141.18,0.72,19.59,0,1.64,25.427233,76.554512,13862.1732538788,0.00035,0.12523,0.00003,0.02923,-0.11713
11,141.89,0.79,20.32,0,1.22,25.427233,76.554512,13833.0791253207,0.00035,0.12523,0.00003,0.02923,-0.11713
12,142.66,0.85,20.16,0,0.58,25.427233,76.554512,13801.6592839962,0.00035,0.12523,0.00003,0.02923,-0.11713
13,143.34,0.9,20.52,0,0.36,25.425438,76.553225,13774.0258698759,0.00035,0.12523,0.00003,0.02923,-0.11713
14,144.14,1.07,21.3,0,0.81,25.425438,76.553225,13741.6515443989,0.00035,0.12523,0.00003,0.02923,-0.11713
15,144.93,1.12,21.08,0,1.33,25.424602,76.552628,13709.8243639447,0.00035,0.12523,0.00003,0.02923,-0.11713
16,145.7,1.23,21.23,0,1.52,25.423709,76.551975,13678.9378386371,0.00035,0.12523,0.00003,0.02923,-0.11713
17,146.41,1.33,21.84,0,1.55,25.421886,76.550512,13650.5749611359,0.00035,0.12523,0.00003,0.02923,-0.11713
18,147.09,1.39,21.65,0,1.22,25.421886,76.550512,13623.5147380269,0.00035,0.12523,0.00003,0.02923,-0.11713
19,147.83,1.46,21.93,0,0.82,25.421118,76.549744,13594.1817051471,0.00035,0.12523,0.00003,0.02923,-0.11713
20,148.58,1.55,21.81,0,0.91,25.420316,76.54913,13564.5733481533,0.00035,0.12523,0.00003,0.02923,-0.11713
21,149.2,1.63,22.61,0,0.67,25.419442,76.548481,13540.1883418432,0.00035,0.12523,0.00003,0.02923,-0.11713
22,150.01,1.67,21.8,0,1,25.418685,76.547613,13508.4538320552,0.00035,0.12523,0.00003,0.02923,-0.11713
23,150.75,1.75,22.07,0,1.28,25.418072,76.546866,13479.5828651791,0.00035,0.12523,0.00003,0.02923,-0.11713
24,151.57,1.82,22.18,0,1.07,25.417376,76.546118,13447.7244420574,0.00035,0.12523,0.00003,0.02923,-0.11713
25,152.06,1.88,22,0,1.07,25.41678,76.545278,13428.7536496603,0.00035,0.12523,0.00003,0.02923,-0.11713
26,152.65,1.96,22.77,0,1.03,25.416182,76.544462,13405.976840399,0.00035,0.12523,0.00003,0.02923,-0.11713
27,153.36,2.03,21.81,0,0.99,25.415718,76.543681,13378.6617740489,0.00035,0.12523,0.00003,0.02923,-0.11713
28,153.96,2.11,21.79,0,1.11,25.415151,76.543052,13355.6583353065,0.00035,0.12523,0.00003,0.02923,-0.11713
29,154.56,2.21,21.95,0,0.68,25.414682,76.54214,13332.7273731192,0.00035,0.12523,0.00003,0.02923,-0.11713
30,155.28,2.29,22.2,0,1.17,25.412933,76.539429,13305.3051721391,0.00035,0.12523,0.00003,0.02923,-0.11713
31,156.02,2.34,22.37,0,1.09,25.412933,76.539429,13277.2283230987,0.00035,0.12523,0.00003,0.02923,-0.11713
32,156.58,2.41,22.18,0,1.38,25.412933,76.539429,13256.0525679306,0.00035,0.12523,0.00003,0.02923,-0.11713
33,157.25,2.49,22.14,0,1.06,25.412933,76.539429,13230.797715805,0.00035,0.12523,0.00003,0.02923,-0.11713
34,157.71,2.57,22.55,0,1.15,25.412459,76.538622,13213.5089638272,0.00035,0.12523,0.00003,0.02923,-0.11713
35,158.33,2.65,22.1,0,1.45,25.411628,76.536913,13190.2712240244,0.00035,0.12523,0.00003,0.02923,-0.11713
36,158.91,2.74,22.19,0,1.53,25.411238,76.536139,13168.5993036947,0.00035,0.12523,0.00003,0.02923,-0.11713
37,159.48,2.83,22.16,0,1.18,25.409961,76.533411,13147.363350645,0.00035,0.12523,0.00003,0.02923,-0.11713
38,159.97,2.9,22.08,0,0.89,25.409961,76.533411,13129.1569517408,0.00035,0.12523,0.00003,0.02923,-0.11713
39,160.66,2.98,21.94,0,1.32,25.409961,76.533411,13103.5957833191,0.00035,0.12523,0.00003,0.02923,-0.11713
40,161.21,3.07,21.98,0,1.35,25.409566,76.532638,13083.2845302384,0.00035,0.12523,0.00003,0.02923,-0.11713
41,161.81,3.15,21.84,0,1.07,25.40921,76.531792,13061.1906945461,0.00035,0.12523,0.00003,0.02923,-0.11713
42,162.45,3.22,21.79,0,1.53,25.40877,76.531012,13037.6969353378,0.00035,0.12523,0.00003,0.02923,-0.11713
43,163,3.32,22.47,0,1.34,25.408275,76.530234,13017.5667901571,0.00035,0.12523,0.00003,0.02923,-0.11713
44,163.53,3.37,22.21,0,1.13,25.407834,76.529361,12998.2206200807,0.00035,0.12523,0.00003,0.02923,-0.11713
45,164.15,3.45,22.45,0,1.32,25.407362,76.528519,12975.6535813298,0.00035,0.12523,0.00003,0.02923,-0.11713
46,164.87,3.51,22.4,0,1.46,25.406792,76.52777,12949.5331491319,0.00035,0.12523,0.00003,0.02923,-0.11713
47,165.62,3.59,22.11,0,1.22,25.406271,76.526978,12922.4224018089,0.00043,0.12518,0.00003,0.02921,-0.39782
48,166.11,3.66,22.17,0,1,25.405798,76.526194,12904.7636903137,0.00043,0.12518,0.00003,0.02921,-0.39782
49,166.68,3.74,22.15,0,1.23,25.405244,76.52545,12884.2749169706,0.00043,0.12518,0.00003,0.02921,-0.39782
50,167.31,3.83,22.24,0,1.24,25.404689,76.524686,12861.6953329057,0.00043,0.12518,0.00003,0.02921,-0.39782
51,167.95,3.9,22.32,0,0.85,25.404183,76.523904,12838.8277270837,0.00016,0.12502,0.00004,0.02907,-0.34851
52,168.6,3.98,21.7,0,0.81,25.403692,76.523113,12815.6749248032,0.00016,0.12502,0.00004,0.02907,-0.34851
53,169.2,4.07,21.68,0,1.23,25.403087,76.522471,12794.367170738,0.00016,0.12502,0.00004,0.02907,-0.34851
54,169.8,4.16,21.65,0,0.9,25.402512,76.521722,12773.1205124821,0.00016,0.12502,0.00004,0.02907,-0.34851
55,170.46,4.26,21.87,0,1.34,25.401906,76.521052,12749.8192885428,0.00016,0.12502,0.00004,0.02907,-0.34851
56,171.1,4.32,22.41,0,1.31,25.401906,76.521052,12727.2938252947,0.00016,0.12502,0.00004,0.02907,-0.34851
57,171.69,4.38,21.88,0,1.41,25.399998,76.5195,12706.5885220347,0.00016,0.12502,0.00004,0.02907,-0.34851
58,172.46,4.44,21.92,0,1.33,25.399998,76.5195,12679.6528339024,0.00016,0.12502,0.00004,0.02907,-0.34851
59,173,4.51,21.81,0,1.32,25.399239,76.518931,12660.8209064223,0.00016,0.12502,0.00004,0.02907,-0.34851
60,173.62,4.58,22.04,0,1.27,25.398539,76.518456,12639.2576709559,0.00016,0.12502,0.00004,0.02907,-0.34851
61,174.21,4.65,22.26,0,1.22,25.397819,76.517973,12618.7956399061,0.00016,0.12502,0.00004,0.02907,-0.34851
62,174.8,4.7,22.4,0,1.02,25.396501,76.517074,12598.3896463141,0.00016,0.12502,0.00004,0.02907,-0.34851
63,175.5,4.76,22.35,0,1.12,25.396501,76.517074,12574.25135761,0.00016,0.12502,0.00004,0.02907,-0.34851
64,176.04,4.83,22.46,0,0.92,25.395741,76.516565,12555.6836029207,0.00016,0.12502,0.00004,0.02907,-0.34851
65,176.63,4.9,22.38,0,0.88,25.395004,76.516004,12535.449260324,0.00016,0.12502,0.00004,0.02907,-0.34851
66,177.33,4.96,22.46,0,0.99,25.393681,76.51485,12511.5132773146,0.00016,0.12502,0.00004,0.02907,-0.34851
67,177.95,5.02,22.23,0,0.86,25.393681,76.51485,12490.3766435175,0.00016,0.12502,0.00004,0.02907,-0.34851
68,178.62,5.1,22.23,0,0.89,25.392923,76.514283,12467.6023755783,0.00016,0.12502,0.00004,0.02907,-0.34851
69,179.35,5.17,22.18,0,0.96,25.392238,76.513798,12442.8672276786,0.00016,0.12502,0.00004,0.02907,-0.34851
70,180,5.26,21.98,0,1.09,25.391468,76.513245,12420.9112982455,0.00016,0.12502,0.00004,0.02907,-0.34851
71,180.68,5.34,21.54,0,0.98,25.390274,76.512097,12398.0106245943,0.00016,0.12502,0.00004,0.02907,-0.34851
72,181.38,5.43,21.9,0,1.14,25.390274,76.512097,12374.5091851067,0.00016,0.12502,0.00004,0.02907,-0.34851
73,182.04,5.51,21.93,0,1.39,25.38964,76.511456,12352.4178565959,0.00016,0.12502,0.00004,0.02907,-0.34851
74,182.73,5.57,22.19,0,1.44,25.389018,76.510863,12329.3916124463,0.00016,0.12502,0.00004,0.02907,-0.34851
75,183.38,5.64,22.23,0,1.12,25.388029,76.509711,12307.7645350475,0.00016,0.12502,0.00004,0.02907,-0.34851
76,184.08,5.7,22.41,0,1.2,25.388029,76.509711,12284.5431447627,0.00016,0.12502,0.00004,0.02907,-0.34851
77,184.75,5.77,22.6,0,1.63,25.387461,76.509131,12262.3838327947,0.00016,0.12502,0.00004,0.02907,-0.34851
78,185.58,5.85,22.6,0,1.38,25.386891,76.508579,12235.0228021344,0.00016,0.12502,0.00004,0.02907,-0.34851
79,186.17,5.91,22.76,0,0.93,25.385272,76.506804,12215.6335858989,0.00016,0.12502,0.00004,0.02907,-0.34851
80,186.76,5.96,22.21,0,1.1,25.385272,76.506804,12196.2940622286,0.00016,0.12502,0.00004,0.02907,-0.34851
81,187.44,6.02,22.01,0,1.4,25.385272,76.506804,12174.0657130406,0.00016,0.12502,0.00004,0.02907,-0.34851
82,188.19,6.1,22.39,0,1.06,25.384713,76.506103,12149.6247501318,0.00016,0.12502,0.00004,0.02907,-0.34851
83,189,6.17,22.63,0,1.17,25.384199,76.505465,12123.3169408455,0.00016,0.12502,0.00004,0.02907,-0.34851
84,189.75,6.23,22.88,0,1.29,25.383028,76.504501,12099.0391356329,0.00016,0.12502,0.00004,0.02907,-0.34851
85,190.54,6.29,22.66,0,1.41,25.383028,76.504501,12073.5503984746,0.00016,0.12502,0.00004,0.02907,-0.34851
86,191.27,6.36,22.79,0,1.24,25.382355,76.503832,12050.0734724469,0.00016,0.12502,0.00004,0.02907,-0.34851
87,191.98,6.44,22.87,0,1.21,25.381791,76.50318,12027.3092467348,0.00016,0.12502,0.00004,0.02907,-0.34851
88,192.65,6.51,22.51,0,1.54,25.381129,76.502559,12005.8899454547,0.00016,0.12502,0.00004,0.02907,-0.34851
89,193.4,6.57,22.56,0,1.42,25.379888,76.501442,11981.9845500625,0.00016,0.12502,0.00004,0.02907,-0.34851
90,194.09,6.66,22.19,0,1.13,25.379888,76.501442,11960.0577935646,0.00016,0.12502,0.00004,0.02907,-0.34851
91,194.75,6.75,22.07,0,1.03,25.379306,76.500816,11939.1433579411,0.00016,0.12502,0.00004,0.02907,-0.34851
92,195.5,6.82,22.28,0,1.23,25.378748,76.50017,11915.4465050397,0.00016,0.12502,0.00004,0.02907,-0.34851
93,196.17,6.86,22.83,0,1.34,25.377589,76.498917,11894.3394884429,0.00016,0.12502,0.00004,0.02907,-0.34851
94,196.94,6.91,22.71,0,1.1,25.377589,76.498917,11870.1541414754,0.00016,0.12502,0.00004,0.02907,-0.34851
95,197.56,6.98,22.84,0,0.79,25.377076,76.498256,11850.7358113516,0.00016,0.12502,0.00004,0.02907,-0.34851
96,198.26,7.04,22.75,0,1.19,25.376477,76.497537,11828.8711079479,0.00016,0.12502,0.00004,0.02907,-0.34851
97,198.91,7.1,22.99,0,1.12,25.37586,76.496836,11808.624070004,0.00016,0.12502,0.00004,0.02907,-0.34851
98,199.69,7.18,22.75,0,0.85,25.374873,76.495586,11784.3982225616,0.00016,0.12502,0.00004,0.02907,-0.34851
99,200.4,7.25,22.81,0,0.98,25.374873,76.495586,11762.4130160523,0.00016,0.12502,0.00004,0.02907,-0.34851
100,201.05,7.33,22.81,0,0.65,25.374313,76.494793,11742.3409472914,0.00016,0.12502,0.00004,0.02907,-0.34851
101,201.79,7.41,22.75,0,0.78,25.373706,76.493936,11719.5535323895,0.00016,0.12502,0.00004,0.02907,-0.34851
102,202.59,7.47,22.76,0,1.21,25.373112,76.493206,11694.9944813421,0.00016,0.12502,0.00004,0.02907,-0.34851
103,203.29,7.53,22.41,0,0.65,25.371958,76.491562,11673.5696462244,0.00016,0.12502,0.00004,0.02907,-0.34851
104,203.99,7.59,22.44,0,0.64,25.371958,76.491562,11652.2044652142,0.00016,0.12502,0.00004,0.02907,-0.34851
105,204.78,7.67,22.59,0,1.16,25.371318,76.490736,11628.1635209909,0.00016,0.12502,0.00004,0.02907,-0.34851
106,205.51,7.73,22.49,0,1.38,25.370634,76.489941,11606.0151393868,0.00016,0.12502,0.00004,0.02907,-0.34851
107,206.23,7.79,22.71,0,0.96,25.370013,76.489084,11584.2324750693,0.00016,0.12502,0.00004,0.02907,-0.34851
108,207.02,7.87,22.83,0,0.82,25.368786,76.487526,11560.4027883669,0.00016,0.12502,0.00004,0.02907,-0.34851
109,207.64,7.93,22.75,0,1.36,25.368786,76.487526,11541.7525258616,0.00016,0.12502,0.00004,0.02907,-0.34851
110,208.48,8,22.5,0,1.24,25.3682,76.48672,11516.5562289338,0.00016,0.12502,0.00004,0.02907,-0.34851
111,209.19,8.07,22.31,0,1.04,25.3671,76.485171,11495.3233846154,0.00016,0.12502,0.00004,0.02907,-0.34851
112,209.81,8.14,22.62,0,1.06,25.3671,76.485171,11476.8297018891,0.00016,0.12502,0.00004,0.02907,-0.34851
113,210.49,8.21,21.88,0,0.84,25.366046,76.483628,11456.5971214636,0.00016,0.12502,0.00004,0.02907,-0.34851
114,211.2,8.29,21.75,0,0.88,25.366046,76.483628,11435.528329246,0.00016,0.12502,0.00004,0.02907,-0.34851
115,211.9,8.39,22.55,0,1.2,25.364912,76.482038,11414.8123520632,0.00016,0.12502,0.00004,0.02907,-0.34851
116,212.64,8.43,22.41,0,1.12,25.364912,76.482038,11392.9727715178,0.00016,0.12502,0.00004,0.02907,-0.34851
117,213.37,8.49,22.7,0,1.21,25.364284,76.481257,11371.4885381879,0.00016,0.12502,0.00004,0.02907,-0.34851
118,214.07,8.55,22.61,0,1.14,25.363744,76.480506,11350.9430461847,0.00016,0.12502,0.00004,0.02907,-0.34851
119,214.83,8.63,22.76,0,1.35,25.363186,76.479668,11328.6980151221,0.00016,0.12502,0.00004,0.02907,-0.34851
120,215.64,8.69,22.34,0,1.07,25.362672,76.478949,11305.0595346164,0.00016,0.12502,0.00004,0.02907,-0.34851
121,216.51,8.77,22.69,0,0.88,25.362022,76.478041,11279.7500053093,0.00016,0.12502,0.00004,0.02907,-0.34851
122,217.21,8.83,22.49,0,1.25,25.360953,76.47648,11259.4457334863,0.00016,0.12502,0.00004,0.02907,-0.34851
123,217.94,8.89,22.27,0,1.21,25.360953,76.47648,11238.3276399938,0.00016,0.12502,0.00004,0.02907,-0.34851
124,218.68,8.96,22.15,0,0.93,25.359766,76.474793,11216.9786368961,0.00016,0.12502,0.00004,0.02907,-0.34851
125,219.52,9.04,22.43,0,0.86,25.359766,76.474793,11192.8154075744,0.00016,0.12502,0.00004,0.02907,-0.34851
126,220.23,9.11,22.37,0,1.2,25.359173,76.473947,11172.4500419794,0.00016,0.12502,0.00004,0.02907,-0.34851
127,221.08,9.16,22.36,0,1.12,25.359173,76.473947,11148.1387750932,0.00016,0.12502,0.00004,0.02907,-0.34851
128,221.84,9.21,22.24,0,1.1,25.357984,76.472324,11126.4656490802,0.00016,0.12502,0.00004,0.02907,-0.34851
129,222.7,9.27,22.51,0,1.07,25.357419,76.471605,11102.0131858112,0.00016,0.12502,0.00004,0.02907,-0.34851
130,223.5,9.32,22.21,0,1.08,25.356803,76.470787,11079.3352587615,0.00016,0.12502,0.00004,0.02907,-0.34851
131,224.29,9.4,23.19,0,0.94,25.356265,76.469926,11057.0052166123,0.00016,0.12502,0.00004,0.02907,-0.34851
132,225.04,9.45,22.79,0,1.28,25.355656,76.468996,11035.8646638054,0.00016,0.12502,0.00004,0.02907,-0.34851
133,225.8,9.5,22.26,0,1.17,25.355129,76.46824,11014.5003541355,0.00016,0.12502,0.00004,0.02907,-0.34851
134,226.64,9.58,22.7,0,1.12,25.35444,76.467222,10990.9548064673,0.00016,0.12502,0.00004,0.02907,-0.34851
135,227.61,9.64,23.35,0,1.23,25.354017,76.466453,10963.8530572366,0.00016,0.12502,0.00004,0.02907,-0.34851
136,228.4,9.68,23.18,0,1.08,25.353619,76.46554,10941.849514351,0.00016,0.12502,0.00004,0.02907,-0.34851
137,229.27,9.74,23.15,0,1.08,25.353056,76.464581,10917.6889536688,,0.12568,0.00004,0.03148,-0.37025
138,230.07,9.8,23.02,0,0.92,25.352586,76.46379,10895.5377760264,,0.12568,0.00004,0.03148,-0.37025
139,230.99,9.85,22.73,0,0.98,25.352106,76.462892,10870.1408935562,,0.12568,0.00004,0.03148,-0.37025
140,231.65,9.94,22.94,0,0.98,25.351151,76.460862,10851.9718002605,,0.12568,0.00004,0.03148,-0.37025
141,232.3,9.98,22.88,0,0.62,25.351151,76.460862,10834.1189192945,,0.12568,0.00004,0.03148,-0.37025
142,233.06,10.06,22.86,0,1.09,25.350758,76.459933,10813.2960061408,,0.12568,0.00004,0.03148,-0.37025
143,233.85,10.13,22.57,0,1.21,25.349853,76.458054,10791.7093365711,,0.12568,0.00004,0.03148,-0.37025
144,234.71,10.18,22.52,0,1.15,25.349853,76.458054,10768.27695079,,0.12568,0.00004,0.03148,-0.37025
145,235.4,10.25,22.54,0,1.09,25.349387,76.45715,10749.5267627036,,0.12568,0.00004,0.03148,-0.37025
146,236.05,10.3,22.9,0,1.01,25.349098,76.456266,10731.9042063325,,0.12568,0.00004,0.03148,-0.37025
147,236.85,10.34,23.25,0,1.16,25.348602,76.455348,10710.2687672626,,0.12568,0.00004,0.03148,-0.37025
148,237.65,10.39,23.23,0,0.9,25.348273,76.454513,10688.6924210039,,0.12568,0.00004,0.03148,-0.37025
149,238.26,10.45,23.1,0,1.32,25.347893,76.453681,10672.279942006,,0.12568,0.00004,0.03148,-0.37025
150,239.03,10.49,22.93,0,1.5,25.34703,76.451978,10651.6110629083,,0.12568,0.00004,0.03148,-0.37025
151,239.79,10.55,22.83,0,1.06,25.34703,76.451978,10631.2634114851,,0.12568,0.00004,0.03148,-0.37025
152,240.56,10.62,22.06,0,0.7,25.346706,76.451123,10610.701214095,,0.12568,0.00004,0.03148,-0.37025
153,241.29,10.67,22.86,0,1.23,25.346274,76.450351,10591.2563376412,,0.12568,0.00004,0.03148,-0.37025
154,241.99,10.73,22.86,0,1.1,25.345925,76.449563,10572.6552539768,,0.12568,0.00004,0.03148,-0.37025
155,242.6,10.78,22.78,0,0.78,25.345601,76.448702,10556.4812316809,,0.12568,0.00004,0.03148,-0.37025
156,243.27,10.83,22.47,0,1.38,25.345216,76.447961,10538.7542264711,,0.12568,0.00004,0.03148,-0.37025
157,244.08,10.93,22.82,0,1.1,25.344789,76.447115,10517.3757817482,,0.12568,0.00004,0.03148,-0.37025
158,244.81,10.97,22.72,0,1.1,25.344481,76.446323,10498.1579493713,,0.12568,0.00004,0.03148,-0.37025
159,245.49,11.03,23.08,0,0.99,25.344123,76.445524,10480.2981058659,,0.12568,0.00004,0.03148,-0.37025
160,246.1,11.1,22.96,0,0.89,25.343722,76.444691,10464.3108288536,,0.12568,0.00004,0.03148,-0.37025
161,246.8,11.16,23.09,0,1.06,25.343401,76.44394,10446.0042632153,,0.12568,0.00004,0.03148,-0.37025
162,247.66,11.2,22.62,0,0.98,25.343011,76.44313,10423.5708088199,,0.12568,0.00004,0.03148,-0.37025
163,248.32,11.26,23.09,0,1.02,25.340622,76.438644,10406.397177994,0.00025,0.12647,0.00003,0.03284,-0.03816
164,248.87,11.31,22.6,0,0.88,25.340622,76.438644,10392.1140299945,0.00025,0.12647,0.00003,0.03284,-0.03816
165,249.58,11.37,22.74,0,1.3,25.340622,76.438644,10373.7135308688,0.00025,0.12647,0.00003,0.03284,-0.03816
166,250.23,11.43,22.53,0,1.2,25.340622,76.438644,10356.9051307064,0.00025,0.12647,0.00003,0.03284,-0.03816
167,250.94,11.48,22.44,0,0.81,25.340622,76.438644,10338.5855381101,0.00025,0.12647,0.00003,0.03284,-0.03816
168,251.7,11.55,22.41,0,1.05,25.340622,76.438644,10319.0222832578,0.00025,0.12647,0.00003,0.03284,-0.03816
169,252.41,11.61,22.03,0,0.88,25.340196,76.437938,10300.7892521552,0.00025,0.12647,0.00003,0.03284,-0.03816
170,253.17,11.65,22.32,0,0.83,25.339841,76.437195,10281.3181662953,0.00025,0.12647,0.00003,0.03284,-0.03816
171,253.83,11.71,22.45,0,1.24,25.339434,76.436512,10264.4474262506,0.00025,0.12647,0.00003,0.03284,-0.03816
172,254.64,11.76,21.67,0,1.05,25.339257,76.435837,10243.790906102,0.00025,0.12647,0.00003,0.03284,-0.03816
173,255.41,11.83,21.01,0,1.22,25.339076,76.435224,10224.203732,0.00025,0.12647,0.00003,0.03284,-0.03816
174,256.34,11.92,21.68,0,1.04,25.338987,76.434522,10200.6101455686,0.00025,0.12647,0.00003,0.03284,-0.03816
175,257.41,11.97,21.9,0,1.08,25.338854,76.433745,10173.5504306304,0.00025,0.12647,0.00003,0.03284,-0.03816
176,258.59,12.02,22.31,0,1.46,25.338484,76.433117,10143.8142788341,0.00025,0.12647,0.00003,0.03284,-0.03816
177,259.82,12.07,22.51,0,1.28,25.338146,76.432385,10112.9348493057,0.00025,0.12647,0.00003,0.03284,-0.03816
178,260.78,12.11,22.47,0,1.04,25.337897,76.43162,10088.9159727988,0.00025,0.12647,0.00003,0.03284,-0.03816
179,261.64,12.16,23.07,0,0.78,25.337661,76.430855,10067.4597846466,0.00025,0.12647,0.00003,0.03284,-0.03816
180,262.66,12.2,22.97,0,1.07,25.337437,76.430132,10042.0856546796,0.00025,0.12647,0.00003,0.03284,-0.03816
181,263.42,12.26,22.63,0,1.14,25.33722,76.429527,10023.2312632742,0.00025,0.12647,0.00003,0.03284,-0.03816
182,264.11,12.28,22.51,0,0.77,25.337012,76.428824,10006.1515711133,0.00025,0.12647,0.00003,0.03284,-0.03816
183,264.99,12.35,23.25,0,0.73,25.336767,76.428167,9984.42112290621,0.00025,0.12647,0.00003,0.03284,-0.03816
184,265.74,12.39,23.41,0,1.1,25.336579,76.427567,9965.94692961042,0.00025,0.12647,0.00003,0.03284,-0.03816
185,266.56,12.45,23.12,0,0.74,25.336343,76.426866,9945.79672985276,0.00025,0.12647,0.00003,0.03284,-0.03816
186,267.33,12.52,23.09,0,0.89,25.335184,76.423568,9926.92084469035,0.00025,0.12647,0.00003,0.03284,-0.03816
187,268.04,12.57,22.58,0,1.11,25.335184,76.423568,9909.55478011715,0.00025,0.12647,0.00003,0.03284,-0.03816
188,268.8,12.63,22.95,0,0.86,25.335184,76.423568,9891.00697966771,0.00025,0.12647,0.00003,0.03284,-0.03816
189,269.59,12.68,23.1,0,1.11,25.335184,76.423568,9871.77198625844,0.00025,0.12647,0.00003,0.03284,-0.03816
190,270.41,12.75,23.36,0,0.93,25.335184,76.423568,9851.85476398559,0.00025,0.12647,0.00003,0.03284,-0.03816
191,271.2,12.79,23.08,0,1.19,25.335071,76.422946,9832.71242216817,0.00025,0.12647,0.00003,0.03284,-0.03816
192,272.01,12.83,22.99,0,0.96,25.334967,76.422258,9813.13228801813,0.00025,0.12647,0.00003,0.03284,-0.03816
193,272.82,12.89,22.72,0,0.71,25.334909,76.421567,9793.59930999926,0.00025,0.12647,0.00003,0.03284,-0.03816
194,273.53,12.94,23.29,0,0.88,25.334743,76.42082,9776.51639400878,0.00025,0.12647,0.00003,0.03284,-0.03816
195,274.27,13,23.21,0,0.93,25.334693,76.420073,9758.74983527158,0.00025,0.12647,0.00003,0.03284,-0.03816
196,275.11,13.05,23.23,0,1.08,25.334573,76.419321,9738.62936618315,0.00025,0.12647,0.00003,0.03284,-0.03816
197,275.83,13.11,22.97,0,1.26,25.334502,76.418663,9721.4228049431,0.00025,0.12647,0.00003,0.03284,-0.03816
198,276.67,13.17,23.18,0,0.97,25.334423,76.417906,9701.39438923445,0.00025,0.12647,0.00003,0.03284,-0.03816
199,277.41,13.22,23.15,0,0.99,25.33425,76.417164,9683.79106277279,0.00025,0.12647,0.00003,0.03284,-0.03816
200,278.19,13.27,23.01,0,0.91,25.334189,76.416453,9665.27731899855,0.00025,0.12647,0.00003,0.03284,-0.03816
201,279.09,13.32,22.99,0,1.02,25.334037,76.415755,9643.96746483885,0.00025,0.12647,0.00003,0.03284,-0.03816
202,279.85,13.37,22.78,0,1.16,25.333934,76.415037,9626.01576768433,0.00025,0.12647,0.00003,0.03284,-0.03816
203,280.59,13.42,23.15,0,1.01,25.333773,76.414304,9608.57437552757,0.00025,0.12647,0.00003,0.03284,-0.03816
204,281.43,13.48,23.33,0,1.1,25.333612,76.413583,9588.82111729518,0.00025,0.12647,0.00003,0.03284,-0.03816
205,282.15,13.53,23.13,0,1.22,25.333477,76.412927,9571.9277150712,0.00025,0.12647,0.00003,0.03284,-0.03816
206,283.06,13.57,22.72,0,0.83,25.333301,76.412146,9550.62619999823,0.00025,0.12647,0.00003,0.03284,-0.03816
207,283.94,13.64,23.05,0,1.17,25.333166,76.41148,9530.07960771267,0.00025,0.12647,0.00003,0.03284,-0.03816
208,284.75,13.69,23.23,0,1.07,25.33204,76.407879,9511.2129271784,0.00025,0.12647,0.00003,0.03284,-0.03816
209,285.59,13.74,24.02,0,0.8,25.33204,76.407879,9491.69332634765,0.00025,0.12647,0.00003,0.03284,-0.03816
210,286.47,13.76,23.62,0,0.93,25.33204,76.407879,9471.2940198637,0.00025,0.12647,0.00003,0.03284,-0.03816
211,287.37,13.81,23.28,0,0.88,25.33204,76.407879,9450.48350996748,0.00025,0.12647,0.00003,0.03284,-0.03816
212,288.11,13.86,23.66,0,1.02,25.33204,76.407879,9433.41214520369,0.00025,0.12647,0.00003,0.03284,-0.03816
213,288.86,13.9,23.62,0,0.82,25.331863,76.407154,9416.14627566689,0.00025,0.12647,0.00003,0.03284,-0.03816
214,289.74,13.96,23.5,0,1.2,25.331644,76.40646,9395.93387771292,0.00025,0.12647,0.00003,0.03284,-0.03816
215,290.63,14,23.56,0,1.41,25.331366,76.405779,9375.54229010992,0.00025,0.12647,0.00003,0.03284,-0.03816
216,291.45,14.06,23.75,0,0.99,25.331112,76.405091,9356.79924178274,0.00025,0.12647,0.00003,0.03284,-0.03816
217,292.29,14.11,23.68,0,0.82,25.330969,76.404421,9337.64326941272,0.00025,0.12647,0.00003,0.03284,-0.03816
218,293.21,14.15,23.9,0,0.82,25.330707,76.403724,9316.71399867287,0.00025,0.12647,0.00003,0.03284,-0.03816
219,294.02,14.19,23.65,0,0.88,25.330518,76.403059,9298.33111322915,0.00025,0.12647,0.00003,0.03284,-0.03816
