fid,Pressure_h,Temperatur,Humidity_p,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,SO2_October_2025,O3_October_2025,NO2_October_2025,CO_October_2025,UVAI_October_2025
594,700.41,29.29,45.86,12,0.81,25.289085,76.227692,3007.54803601629,-0.00006,0.12494,0.00002,0.02931,-0.43874
595,700.45,3.29,43.77,72,1.21,25.546922,76.834854,3007.0990404918,0,0.12478,0.00003,0.02906,-0.14898
596,701.99,29.31,44.58,24,0.75,25.289358,76.22742,2989.82847900039,-0.00006,0.12494,0.00002,0.02931,-0.43874
597,702.08,3.36,44.08,96,1.24,25.546807,76.835195,2988.8201096667,0,0.12478,0.00003,0.02906,-0.14898
598,703.57,3.47,44.4,60,1.27,25.546802,76.835603,2972.14118677073,0,0.12478,0.00003,0.02906,-0.14898
599,703.58,29.34,45.67,24,0.67,25.289616,76.227103,2972.02934435373,-0.00006,0.12494,0.00002,0.02931,-0.43874
600,705.17,3.53,44.98,120,1.32,25.546813,76.836019,2954.26275069225,0,0.12478,0.00003,0.02906,-0.14898
601,705.36,29.38,44.17,24,0.68,25.289616,76.227103,2952.14186894868,-0.00006,0.12494,0.00002,0.02931,-0.43874
602,706.78,3.6,45.73,48,1.3,25.546762,76.836428,2936.30569966358,0,0.12478,0.00003,0.02906,-0.14898
603,706.9,29.43,45.55,60,0.81,25.289783,76.226975,2934.96861276408,-0.00006,0.12494,0.00002,0.02931,-0.43874
604,708.38,3.67,46.34,156,1.3,25.546715,76.83685,2918.49296761694,0,0.12478,0.00003,0.02906,-0.14898
605,708.64,29.45,46.52,0,0.52,25.289891,76.226796,2915.6014764857,-0.00006,0.12494,0.00002,0.02931,-0.43874
606,709.97,3.77,47.07,132,1.27,25.546641,76.83727,2900.82380953412,0,0.12478,0.00003,0.02906,-0.14898
607,710.25,29.47,47.4,24,0.72,25.289988,76.226685,2897.71557849859,-0.00006,0.12494,0.00002,0.02931,-0.43874
608,711.61,3.82,47.43,48,1.23,25.546499,76.837578,2882.63255487465,0,0.12478,0.00003,0.02906,-0.14898
609,711.76,29.5,47.11,48,0.53,25.290252,76.2263,2880.97041564531,-0.00006,0.12494,0.00002,0.02931,-0.43874
610,713.11,3.91,49.28,60,1.29,25.546347,76.837821,2866.02391240425,0,0.12478,0.00003,0.02906,-0.14898
611,713.35,29.53,45.22,60,0.7,25.290252,76.2263,2863.36915536875,-0.00006,0.12494,0.00002,0.02931,-0.43874
612,714.71,4,50.93,84,1.3,25.546193,76.838064,2848.33917845757,0,0.12478,0.00003,0.02906,-0.14898
613,714.99,29.58,46.1,36,0.72,25.290324,76.226102,2845.24764664476,-0.00006,0.12494,0.00002,0.02931,-0.43874
614,716.52,4.07,51.47,120,1.34,25.546044,76.838357,2828.37192668078,0,0.12478,0.00003,0.02906,-0.14898
615,716.58,29.61,46.24,36,0.65,25.290441,76.225974,2827.71072853706,-0.00006,0.12494,0.00002,0.02931,-0.43874
616,718.01,29.64,45.96,24,0.55,25.290559,76.225853,2811.96542344611,-0.00006,0.12494,0.00002,0.02931,-0.43874
617,718.1,4.15,51.5,60,1.24,25.546044,76.838357,2810.97530980815,0,0.12478,0.00003,0.02906,-0.14898
618,719.64,29.66,45.96,48,0.65,25.290792,76.225627,2794.04891533372,-0.00006,0.12494,0.00002,0.02931,-0.43874
