fid,Pressure_h,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,aod55_Octo,aod47_Octo,UVAI_Octob
1186,973.71,24,0.04,25.54513,76.864767,334.462082441722,0,0,-1.70276
1187,973.71,12,0.04,25.545134,76.864769,334.462082441722,0,0,-1.70276
1188,973.71,36,0.04,25.545132,76.864768,334.462082441722,0,0,-1.70276
1189,973.71,12,0.04,25.545117,76.864763,334.462082441722,0,0,-1.70276
1190,973.71,84,0.03,25.545117,76.864763,334.462082441722,0,0,-1.70276
1191,973.72,24,0.04,25.545125,76.864769,334.376114798365,0,0,-1.70276
1192,973.72,12,0.03,25.545131,76.864767,334.376114798365,0,0,-1.70276
1193,973.72,24,0.03,25.545116,76.864761,334.376114798365,0,0,-1.70276
1194,973.72,36,0.04,25.545133,76.864769,334.376114798365,0,0,-1.70276
1195,973.72,36,0.04,25.545123,76.864764,334.376114798365,0,0,-1.70276
1196,973.73,60,0.04,25.545131,76.864776,334.290147869904,0,0,-1.70276
1197,973.73,36,0.04,25.545125,76.864767,334.290147869904,0,0,-1.70276
1198,973.73,48,0.04,25.54513,76.864767,334.290147869904,0,0,-1.70276
1199,973.73,12,0.03,25.545119,76.864764,334.290147869904,0,0,-1.70276
1200,973.74,24,0.04,25.545133,76.864769,334.204181656327,0,0,-1.70276
1201,973.75,12,0.03,25.545112,76.864761,334.118216157621,0,0,-1.70276
1202,973.75,0,0.03,25.54513,76.864776,334.118216157621,0,0,-1.70276
1203,973.75,12,0.04,25.545125,76.864769,334.118216157621,0,0,-1.70276
1204,973.76,48,0.03,25.545099,76.864758,334.032251373774,0,0,-1.70276
1205,973.76,12,0.04,25.545131,76.864777,334.032251373774,0,0,-1.70276
1206,973.77,12,0.04,25.545108,76.864761,333.946287304769,0,0,-1.70276
1207,973.77,0,0.04,25.545122,76.86477,333.946287304769,0,0,-1.70276
1208,973.78,36,0.04,25.545097,76.864758,333.860323950598,0,0,-1.70276
1209,973.78,12,0.04,25.545094,76.864764,333.860323950598,0,0,-1.70276
1210,973.78,60,0.04,25.545126,76.864773,333.860323950598,0,0,-1.70276
1211,973.78,0,0.04,25.54513,76.864774,333.860323950598,0,0,-1.70276
1212,973.79,24,0.04,25.545098,76.86476,333.774361311246,0,0,-1.70276
1213,973.79,12,0.03,25.545095,76.864764,333.774361311246,0,0,-1.70276
1214,973.79,60,0.04,25.545131,76.864775,333.774361311246,0,0,-1.70276
1215,973.8,108,0.03,25.545088,76.864765,333.688399386701,0,0,-1.70276
1216,973.8,48,0.03,25.545092,76.864763,333.688399386701,0,0,-1.70276
1217,973.8,24,0.04,25.545132,76.864777,333.688399386701,0,0,-1.70276
1218,973.81,24,0.04,25.545099,76.864758,333.602438176946,0,0,-1.70276
1219,973.81,36,0.04,25.545097,76.864765,333.602438176946,0,0,-1.70276
1220,973.81,24,0.03,25.545128,76.864775,333.602438176946,0,0,-1.70276
1221,973.81,24,0.03,25.545084,76.864765,333.602438176946,0,0,-1.70276
1222,973.82,36,0.04,25.545108,76.864761,333.516477681965,0,0,-1.70276
1223,973.82,24,0.03,25.545084,76.864759,333.516477681965,0,0,-1.70276
1224,973.82,12,0.04,25.545131,76.864776,333.516477681965,0,0,-1.70276
1225,973.82,60,0.03,25.545083,76.864764,333.516477681965,0,0,-1.70276
1226,973.82,60,0.04,25.545078,76.864762,333.516477681965,0,0,-1.70276
1227,973.83,12,0.03,25.545101,76.864765,333.430517901754,0,0,-1.70276
1228,973.83,12,0.04,25.5451,76.864762,333.430517901754,0,0,-1.70276
1229,973.84,36,0.04,25.545097,76.864757,333.344558836291,0,0,-1.70276
1230,973.84,24,0.03,25.545098,76.864758,333.344558836291,0,0,-1.70276
1231,973.84,36,0.03,25.545104,76.864759,333.344558836291,0,0,-1.70276
1232,973.84,24,0.03,25.545087,76.864766,333.344558836291,0,0,-1.70276
1233,973.84,48,0.03,25.545116,76.864763,333.344558836291,0,0,-1.70276
1234,973.84,12,0.04,25.545084,76.864758,333.344558836291,0,0,-1.70276
1235,973.84,12,0.04,25.54513,76.864774,333.344558836291,0,0,-1.70276
1236,973.84,36,0.04,25.545082,76.864761,333.344558836291,0,0,-1.70276
1237,973.84,24,0.04,25.545085,76.864764,333.344558836291,0,0,-1.70276
1238,973.85,12,0.03,25.5451,76.864766,333.258600485569,0,0,-1.70276
1239,973.85,12,0.03,25.545101,76.864765,333.258600485569,0,0,-1.70276
1240,973.85,0,0.03,25.545086,76.864765,333.258600485569,0,0,-1.70276
1241,973.85,48,0.03,25.54509,76.864764,333.258600485569,0,0,-1.70276
1242,973.85,36,0.04,25.545116,76.864763,333.258600485569,0,0,-1.70276
1243,973.85,24,0.04,25.545085,76.864761,333.258600485569,0,0,-1.70276
1244,973.86,36,0.04,25.545099,76.864761,333.172642849576,0,0,-1.70276
1245,973.86,24,0.03,25.545086,76.864765,333.172642849576,0,0,-1.70276
1246,973.86,36,0.03,25.545083,76.864758,333.172642849576,0,0,-1.70276
1247,973.86,12,0.04,25.545084,76.864765,333.172642849576,0,0,-1.70276
1248,973.86,36,0.05,25.545085,76.864765,333.172642849576,0,0,-1.70276
1249,973.86,12,0.05,25.545082,76.86476,333.172642849576,0,0,-1.70276
1250,973.86,60,0.05,25.545073,76.864763,333.172642849576,0,0,-1.70276
1251,973.87,36,0.03,25.545097,76.864765,333.086685928289,0,0,-1.70276
1252,973.87,36,0.05,25.545085,76.864764,333.086685928289,0,0,-1.70276
1253,973.87,36,0.04,25.545084,76.864763,333.086685928289,0,0,-1.70276
1254,973.88,24,0.03,25.545086,76.864762,333.000729721702,0,0,-1.70276
1255,973.88,48,0.04,25.545079,76.864761,333.000729721702,0,0,-1.70276
1256,973.88,72,0.05,25.545079,76.864768,333.000729721702,0,0,-1.70276
1257,973.89,24,0.04,25.545083,76.864759,332.914774229805,0,0,-1.70276
1258,973.89,36,0.05,25.545083,76.864763,332.914774229805,0,0,-1.70276
1259,973.89,12,0.04,25.545086,76.864765,332.914774229805,0,0,-1.70276
1260,973.89,24,0.04,25.545086,76.864764,332.914774229805,0,0,-1.70276
1261,973.89,12,0.04,25.545081,76.86476,332.914774229805,0,0,-1.70276
1262,973.89,36,0.05,25.545078,76.864763,332.914774229805,0,0,-1.70276
1263,973.89,0,0.05,25.545078,76.864769,332.914774229805,0,0,-1.70276
1264,973.9,84,0.03,25.545086,76.864763,332.828819452574,0,0,-1.70276
1265,973.9,24,0.04,25.545083,76.864763,332.828819452574,0,0,-1.70276
1266,973.9,12,0.04,25.545085,76.864764,332.828819452574,0,0,-1.70276
1267,973.9,0,0.04,25.545082,76.864759,332.828819452574,0,0,-1.70276
1268,973.9,24,0.05,25.545078,76.864763,332.828819452574,0,0,-1.70276
1269,973.9,12,0.04,25.545073,76.864763,332.828819452574,0,0,-1.70276
1270,973.9,60,0.05,25.545074,76.864764,332.828819452574,0,0,-1.70276
1271,973.9,12,0.06,25.545078,76.864766,332.828819452574,0,0,-1.70276
1272,973.91,36,0.05,25.54508,76.864761,332.742865390005,0,0,-1.70276
1273,973.91,24,0.04,25.545081,76.86476,332.742865390005,0,0,-1.70276
1274,973.91,48,0.05,25.545074,76.864764,332.742865390005,0,0,-1.70276
1275,973.91,48,0.05,25.545077,76.864767,332.742865390005,0,0,-1.70276
1276,973.91,36,0.04,25.545077,76.864767,332.742865390005,0,0,-1.70276
1277,973.91,48,0.05,25.545079,76.86477,332.742865390005,0,0,-1.70276
1278,973.91,0,0.05,25.545074,76.86478,332.742865390005,0,0,-1.70276
1279,973.92,24,0.05,25.545082,76.86476,332.656912042081,0,0,-1.70276
1280,973.92,36,0.05,25.545081,76.864759,332.656912042081,0,0,-1.70276
1281,973.92,48,0.04,25.545078,76.864762,332.656912042081,0,0,-1.70276
1282,973.92,24,0.05,25.545072,76.864761,332.656912042081,0,0,-1.70276
1283,973.92,12,0.05,25.545073,76.864778,332.656912042081,0,0,-1.70276
1284,973.93,36,0.04,25.545086,76.864762,332.570959408789,0,0,-1.70276
1285,973.93,24,0.04,25.545085,76.864765,332.570959408789,0,0,-1.70276
1286,973.93,24,0.05,25.545074,76.864774,332.570959408789,0,0,-1.70276
1287,973.94,48,0.04,25.545078,76.864762,332.485007490119,0,0,-1.70276
1288,973.94,24,0.04,25.545077,76.864764,332.485007490119,0,0,-1.70276
1289,973.94,12,0.05,25.545071,76.864762,332.485007490119,0,0,-1.70276
1290,973.94,12,0.05,25.545071,76.864762,332.485007490119,0,0,-1.70276
1291,973.94,12,0.05,25.545074,76.864766,332.485007490119,0,0,-1.70276
1292,973.94,24,0.04,25.545074,76.864776,332.485007490119,0,0,-1.70276
1293,973.95,0,0.03,25.545084,76.864764,332.39905628605,0,0,-1.70276
1294,973.95,24,0.05,25.545079,76.86477,332.39905628605,0,0,-1.70276
1295,973.95,0,0.05,25.545073,76.864768,332.39905628605,0,0,-1.70276
1296,973.97,12,0.05,25.545071,76.864761,332.227156021684,0,0,-1.70276
1297,973.97,12,0.04,25.54508,76.864787,332.227156021684,0,0,-1.70276
1298,973.98,36,0.04,25.545078,76.864765,332.141206961352,0,0,-1.70276
1299,973.98,12,0.04,25.545076,76.864766,332.141206961352,0,0,-1.70276
1300,973.98,12,0.05,25.545074,76.864773,332.141206961352,0,0,-1.70276
1301,973.98,12,0.05,25.545074,76.864782,332.141206961352,0,0,-1.70276
1302,973.98,24,0.06,25.545076,76.864784,332.141206961352,0,0,-1.70276
1303,973.99,24,0.05,25.545073,76.864768,332.055258615578,0,0,-1.70276
1304,973.99,24,0.05,25.545079,76.864777,332.055258615578,0,0,-1.70276
1305,974,24,0.05,25.545077,76.864765,331.969310984337,0,0,-1.70276
1306,974,24,0.05,25.545074,76.864773,331.969310984337,0,0,-1.70276
1307,974,84,0.05,25.545073,76.86477,331.969310984337,0,0,-1.70276
1308,974,72,0.06,25.545081,76.864787,331.969310984337,0,0,-1.70276
1309,974,0,0.05,25.545083,76.864782,331.969310984337,0,0,-1.70276
1310,974.01,12,0.06,25.545083,76.864786,331.883364067629,0,0,-1.70276
1311,974.01,12,0.05,25.545085,76.864786,331.883364067629,0,0,-1.70276
1312,974.03,48,0.06,25.54508,76.864787,331.711472377732,0,0,-1.70276
1313,974.03,48,0.05,25.545084,76.864784,331.711472377732,0,0,-1.70276
1314,974.03,24,0.05,25.545085,76.864785,331.711472377732,0,0,-1.70276
1315,974.03,36,0.05,25.545075,76.864779,331.711472377732,0,0,-1.70276
1316,974.03,48,0.06,25.545077,76.86478,331.711472377732,0,0,-1.70276
1317,974.04,48,0.05,25.545084,76.864786,331.62552760452,0,0,-1.70276
